09:59:35.405 [main] INFO  e.s.b.i.i.IntegrationTesting - Starting ...
09:59:35.432 [main] INFO  e.s.b.i.i.IntegrationTesting - Instrumenting target classes com.google.javascript.rhino.head.optimizer.BodyCodegen and com.google.javascript.rhino.head.Node
09:59:51.427 [main] INFO  e.s.b.i.i.IntegrationTesting - Instrumented caller class: com.google.javascript.rhino.head.optimizer.BodyCodegen
09:59:51.428 [main] INFO  e.s.b.i.i.IntegrationTesting - Instrumented callee class: com.google.javascript.rhino.head.Node
10:00:27.198 [main] INFO  e.s.b.i.graphs.cfg.CFGGenerator - Branch pairs are registered.
10:00:27.200 [main] INFO  e.s.b.i.i.IntegrationTesting - Analyzing dependencies...
10:00:27.200 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 8.
10:00:38.565 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
10:00:38.571 [main] INFO  e.s.b.c.t.strategy.MOSuiteStrategy - test generation strategy: MOSuite
10:00:38.673 [main] INFO  e.s.b.i.t.CallableMethodPool - method generateExpression(Lcom/google/javascript/rhino/head/Node;Lcom/google/javascript/rhino/head/Node;)V is not detected!
10:00:38.673 [main] INFO  e.s.b.i.t.CallableMethodPool - method inlineFinally(Lcom/google/javascript/rhino/head/Node;)V is not detected!
10:00:38.673 [main] INFO  e.s.b.i.t.CallableMethodPool - method visitTryCatchFinally(Lcom/google/javascript/rhino/head/ast/Jump;Lcom/google/javascript/rhino/head/Node;)V is not detected!
10:00:38.673 [main] INFO  e.s.b.i.t.CallableMethodPool - method generateExpression(Lcom/google/javascript/rhino/head/Node;Lcom/google/javascript/rhino/head/Node;)V is not detected!
10:00:38.673 [main] INFO  e.s.b.i.t.CallableMethodPool - method generateStatement(Lcom/google/javascript/rhino/head/Node;)V is not detected!
10:00:38.673 [main] INFO  e.s.b.i.t.CallableMethodPool - method visitOptimizedCall(Lcom/google/javascript/rhino/head/Node;Lcom/google/javascript/rhino/head/optimizer/OptFunctionNode;ILcom/google/javascript/rhino/head/Node;)V is not detected!
10:00:38.673 [main] INFO  e.s.b.i.t.CallableMethodPool - method visitStandardCall(Lcom/google/javascript/rhino/head/Node;Lcom/google/javascript/rhino/head/Node;)V is not detected!
10:00:38.673 [main] INFO  e.s.b.i.t.CallableMethodPool - method generateExpression(Lcom/google/javascript/rhino/head/Node;Lcom/google/javascript/rhino/head/Node;)V is not detected!
10:00:38.673 [main] INFO  e.s.b.i.t.CallableMethodPool - method visitSpecialCall(Lcom/google/javascript/rhino/head/Node;IILcom/google/javascript/rhino/head/Node;)V is not detected!
10:00:38.673 [main] INFO  e.s.b.i.t.CallableMethodPool - method visitStandardNew(Lcom/google/javascript/rhino/head/Node;Lcom/google/javascript/rhino/head/Node;)V is not detected!
10:00:38.673 [main] INFO  e.s.b.i.t.CallableMethodPool - method generateExpression(Lcom/google/javascript/rhino/head/Node;Lcom/google/javascript/rhino/head/Node;)V is not detected!
10:00:38.673 [main] INFO  e.s.b.i.t.CallableMethodPool - method generateExpression(Lcom/google/javascript/rhino/head/Node;Lcom/google/javascript/rhino/head/Node;)V is not detected!
10:00:38.673 [main] INFO  e.s.b.i.t.CallableMethodPool - method generateExpression(Lcom/google/javascript/rhino/head/Node;Lcom/google/javascript/rhino/head/Node;)V is not detected!
10:00:38.673 [main] INFO  e.s.b.i.t.CallableMethodPool - method generateStatement(Lcom/google/javascript/rhino/head/Node;)V is not detected!
10:00:38.673 [main] INFO  e.s.b.i.t.CallableMethodPool - method visitDotQuery(Lcom/google/javascript/rhino/head/Node;Lcom/google/javascript/rhino/head/Node;)V is not detected!
10:00:38.674 [main] INFO  e.s.b.i.t.CallableMethodPool - method generateExpression(Lcom/google/javascript/rhino/head/Node;Lcom/google/javascript/rhino/head/Node;)V is not detected!
10:00:38.674 [main] INFO  e.s.b.i.t.CallableMethodPool - method generateStatement(Lcom/google/javascript/rhino/head/Node;)V is not detected!
