00:45:18.507 [main] INFO  e.s.b.i.i.IntegrationTesting - Starting ...
00:45:18.531 [main] INFO  e.s.b.i.i.IntegrationTesting - Instrumenting target classes org.joda.time.base.AbstractPartial and org.joda.time.YearMonth
00:45:19.869 [main] INFO  e.s.b.i.i.IntegrationTesting - Instrumented caller class: org.joda.time.base.AbstractPartial
00:45:19.870 [main] INFO  e.s.b.i.i.IntegrationTesting - Instrumented callee class: org.joda.time.YearMonth
00:45:19.962 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
00:45:19.963 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getFieldType(I)Lorg/joda/time/DateTimeFieldType;
00:45:19.964 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
00:45:19.964 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getFieldType(I)Lorg/joda/time/DateTimeFieldType;
00:45:19.964 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getFieldType(I)Lorg/joda/time/DateTimeFieldType;
00:45:19.964 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
00:45:19.964 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
00:45:19.965 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
00:45:19.965 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getFieldType(I)Lorg/joda/time/DateTimeFieldType;
00:45:19.965 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
00:45:19.965 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
00:45:19.965 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
00:45:19.965 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
00:45:19.965 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
00:45:19.965 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getFieldType(I)Lorg/joda/time/DateTimeFieldType;
00:45:19.965 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getFieldType(I)Lorg/joda/time/DateTimeFieldType;
00:45:19.965 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
00:45:19.965 [main] INFO  e.s.b.i.graphs.cfg.CFGGenerator - Branch pairs are registered.
00:45:19.965 [main] INFO  e.s.b.i.i.IntegrationTesting - Analyzing dependencies...
00:45:19.966 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 2.
00:45:23.040 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
00:45:23.047 [main] INFO  e.s.b.c.t.strategy.MOSuiteStrategy - test generation strategy: MOSuite
00:45:23.051 [main] INFO  e.s.b.i.i.IntegrationTestingUtility - Starting the dependency analysis. The number of detected jar files is 2.
00:45:24.180 [main] INFO  e.s.b.i.i.IntegrationTestingUtility - Analysing dependencies done!
00:45:24.204 [main] INFO  e.s.b.c.t.strategy.MOSuiteStrategy - The number of goals are 6: 
00:45:24.205 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Generating solution in MOSA
00:45:26.689 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Stopping reason: ZeroFitness :                      0 / 0            Finished!
00:45:26.699 [main] INFO  e.s.b.commons.PostProcessUtility - * Minimizing test suite
00:45:26.813 [main] INFO  e.s.b.commons.PostProcessUtility - Generating assertions
00:45:27.533 [main] INFO  e.s.b.commons.PostProcessUtility - * Compiling and checking tests
00:45:29.141 [main] INFO  e.s.b.commons.PostProcessUtility - * Writing JUnit test case 'YearMonth_ESTest' to results/botsing/time-14-org.joda.time.base.AbstractPartial-org.joda.time.YearMonth-26
00:45:29.164 [main] INFO  e.s.b.i.i.IntegrationTesting - The solution test is saved!
