17:51:38.455 [main] INFO  e.s.c.i.IntegrationTesting - Starting ...
17:51:38.627 [main] INFO  e.s.c.i.IntegrationTesting - Instrumenting target classes org.joda.time.base.AbstractPartial and org.joda.time.MonthDay
17:51:51.333 [main] INFO  e.s.c.i.IntegrationTesting - Instrumented caller class: org.joda.time.base.AbstractPartial
17:51:51.333 [main] INFO  e.s.c.i.IntegrationTesting - Instrumented callee class: org.joda.time.MonthDay
17:51:51.745 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
17:51:51.746 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getFieldType(I)Lorg/joda/time/DateTimeFieldType;
17:51:51.747 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
17:51:51.747 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getFieldType(I)Lorg/joda/time/DateTimeFieldType;
17:51:51.747 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getFieldType(I)Lorg/joda/time/DateTimeFieldType;
17:51:51.747 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
17:51:51.747 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
17:51:51.748 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
17:51:51.748 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getFieldType(I)Lorg/joda/time/DateTimeFieldType;
17:51:51.748 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
17:51:51.748 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
17:51:51.748 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
17:51:51.748 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
17:51:51.749 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
17:51:51.749 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getFieldType(I)Lorg/joda/time/DateTimeFieldType;
17:51:51.749 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getFieldType(I)Lorg/joda/time/DateTimeFieldType;
17:51:51.749 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
17:51:51.749 [main] INFO  e.s.cling.graphs.cfg.CFGGenerator - Branch pairs are registered.
17:51:51.749 [main] INFO  e.s.c.i.IntegrationTesting - Analyzing dependencies...
17:51:51.749 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 2.
17:52:08.845 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
17:52:08.948 [main] INFO  e.s.b.c.t.strategy.MOSuiteStrategy - test generation strategy: MOSuite
17:52:08.964 [main] INFO  e.s.c.i.IntegrationTestingUtility - Starting the dependency analysis. The number of detected jar files is 2.
17:52:16.409 [main] INFO  e.s.c.i.IntegrationTestingUtility - Analysing dependencies done!
17:52:16.503 [main] INFO  e.s.b.c.t.strategy.MOSuiteStrategy - The number of goals are 6: 
17:52:16.504 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Generating solution in MOSA
17:52:27.511 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Stopping reason: ZeroFitness :                      0 / 0            Finished!
17:52:27.511 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are: 6
17:52:27.512 [main] INFO  e.s.b.commons.PostProcessUtility - test size before post-process: 3
17:52:27.750 [main] INFO  e.s.b.commons.PostProcessUtility - * Minimizing test suite
17:52:29.564 [main] INFO  e.s.b.commons.PostProcessUtility - test size after post-process: 3
17:52:29.564 [main] INFO  e.s.b.commons.PostProcessUtility - Generating assertions
17:52:37.708 [main] INFO  e.s.b.commons.PostProcessUtility - * Compiling and checking tests
17:52:47.151 [main] INFO  e.s.b.commons.PostProcessUtility - * Writing JUnit test case 'MonthDay_ESTest' to results/botsing/time-14-org.joda.time.base.AbstractPartial-org.joda.time.MonthDay-15
17:52:47.209 [main] INFO  e.s.c.i.IntegrationTesting - test size 7: 3
17:52:47.209 [main] INFO  e.s.c.i.IntegrationTesting - The solution test is saved!
