17:14:27.210 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/mockito/cglib/core/CodeEmitter.ifnonnull(Lorg/mockito/asm/Label;)V
17:14:27.213 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/mockito/cglib/core/CodeEmitter.make_label()Lorg/mockito/asm/Label;
17:14:27.213 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/mockito/cglib/core/CodeEmitter.mark(Lorg/mockito/asm/Label;)V
17:14:27.213 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/mockito/cglib/core/CodeEmitter.dup()V
17:14:27.213 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/mockito/cglib/core/CodeEmitter.pop()V
17:14:27.215 [main] INFO  e.s.cling.graphs.cfg.CFGGenerator - Branch pairs are registered.
17:14:27.222 [main] INFO  e.s.cbc.calculator.CoupledBranches - Total number of coupled branches goals: 685
17:14:27.222 [main] INFO  e.s.cbc.calculator.CoupledBranches - Number of given tests: 1
17:14:27.276 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test01
17:14:27.277 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test02
17:14:27.278 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test03
17:14:27.299 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test04
17:14:27.300 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test05
17:14:27.300 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test06
17:14:27.300 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test07
17:14:27.301 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test08
17:14:27.301 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test09
17:14:27.301 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test10
17:14:27.301 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test11
17:14:27.302 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test12
17:14:27.302 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test13
17:14:27.303 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test14
17:14:27.303 [main] INFO  eu.stamp.cbc.Executor - Result: 14/14 failure
17:14:27.311 [main] INFO  e.s.cbc.calculator.CoupledBranches - ==========
17:14:27.311 [main] INFO  e.s.cbc.calculator.CoupledBranches - 2- org.mockito.cglib.core.CodeEmitter.getfield(Ljava/lang/String;)V: I12 Branch 55 IFEQ L425 - true
17:14:27.311 [main] INFO  e.s.cbc.calculator.CoupledBranches - expression- false
17:14:27.311 [main] INFO  e.s.cbc.calculator.CoupledBranches - ==========
17:14:27.311 [main] INFO  e.s.cbc.calculator.CoupledBranches - 2- org.mockito.cglib.core.CodeEmitter.emit_invoke(ILorg/mockito/asm/Type;Lorg/mockito/cglib/core/Signature;)V: I6 Branch 57 IFEQ L496 - true
17:14:27.311 [main] INFO  e.s.cbc.calculator.CoupledBranches - expression- false
17:14:27.311 [main] INFO  e.s.cbc.calculator.CoupledBranches - ==========
17:14:27.311 [main] INFO  e.s.cbc.calculator.CoupledBranches - 2- org.mockito.cglib.core.CodeEmitter.emit_invoke(ILorg/mockito/asm/Type;Lorg/mockito/cglib/core/Signature;)V: I6 Branch 57 IFEQ L496 - false
17:14:27.311 [main] INFO  e.s.cbc.calculator.CoupledBranches - expression- false
17:14:27.311 [main] INFO  e.s.cbc.calculator.CoupledBranches - ==========
17:14:27.311 [main] INFO  e.s.cbc.calculator.CoupledBranches - 2- org.mockito.cglib.core.CodeEmitter.load_this()V: I6 Branch 52 IFEQ L357 - true
17:14:27.311 [main] INFO  e.s.cbc.calculator.CoupledBranches - expression- false
17:14:27.311 [main] INFO  e.s.cbc.calculator.CoupledBranches - ==========
17:14:27.311 [main] INFO  e.s.cbc.calculator.CoupledBranches - 2- org.mockito.cglib.core.CodeEmitter.emit_invoke(ILorg/mockito/asm/Type;Lorg/mockito/cglib/core/Signature;)V: I9 Branch 58 IF_ICMPEQ L496 - false
17:14:27.311 [main] INFO  e.s.cbc.calculator.CoupledBranches - expression- false
17:14:27.311 [main] INFO  e.s.cbc.calculator.CoupledBranches - Number of covered coupled branches by test suite: 5
