15:57:46.413 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getChronology()Lorg/joda/time/Chronology;
15:57:46.437 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:46.438 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:46.438 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:46.438 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getChronology()Lorg/joda/time/Chronology;
15:57:46.438 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:46.438 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:46.438 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:46.438 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:46.438 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:46.438 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:46.438 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:46.445 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:46.445 [main] INFO  e.s.cling.graphs.cfg.CFGGenerator - Branch pairs are registered.
15:57:46.452 [main] INFO  e.s.cbc.calculator.CoupledBranches - Total number of coupled branches goals: 6
15:57:46.452 [main] INFO  e.s.cbc.calculator.CoupledBranches - Number of given tests: 1
15:57:47.228 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test RegressionTest0.test1
15:57:47.229 [main] INFO  eu.stamp.cbc.Executor - Result: 0/1 failure
15:57:47.253 [main] INFO  e.s.cbc.calculator.CoupledBranches - Number of covered coupled branches by test suite: 0
