23:33:14.881 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/mockito/cglib/core/CodeEmitter.ifnonnull(Lorg/mockito/asm/Label;)V
23:33:14.886 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/mockito/cglib/core/CodeEmitter.make_label()Lorg/mockito/asm/Label;
23:33:14.886 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/mockito/cglib/core/CodeEmitter.mark(Lorg/mockito/asm/Label;)V
23:33:14.886 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/mockito/cglib/core/CodeEmitter.dup()V
23:33:14.886 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/mockito/cglib/core/CodeEmitter.pop()V
23:33:14.889 [main] INFO  e.s.cling.graphs.cfg.CFGGenerator - Branch pairs are registered.
23:33:14.898 [main] INFO  e.s.cbc.calculator.CoupledBranches - Total number of coupled branches goals: 685
23:33:14.899 [main] INFO  e.s.cbc.calculator.CoupledBranches - Number of given tests: 1
23:33:16.230 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test001
23:33:16.232 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test002
23:33:16.233 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test003
23:33:16.233 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test004
23:33:16.261 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test005
23:33:16.262 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test006
23:33:16.262 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test007
23:33:16.263 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test008
23:33:16.263 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test009
23:33:16.263 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test010
23:33:16.264 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test011
23:33:16.264 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test012
23:33:16.264 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test ErrorTest0.test013
