15:57:56.112 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getChronology()Lorg/joda/time/Chronology;
15:57:56.163 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:56.163 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:56.163 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:56.163 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getChronology()Lorg/joda/time/Chronology;
15:57:56.163 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:56.163 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:56.164 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:56.164 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:56.164 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:56.164 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:56.164 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:56.164 [main] WARN  e.s.cling.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/LocalTime.getLocalMillis()J
15:57:56.164 [main] INFO  e.s.cling.graphs.cfg.CFGGenerator - Branch pairs are registered.
15:57:56.179 [main] INFO  e.s.cbc.calculator.CoupledBranches - Total number of coupled branches goals: 6
15:57:56.179 [main] INFO  e.s.cbc.calculator.CoupledBranches - Number of given tests: 1
15:57:56.758 [main] INFO  e.s.c.extraction.TestCaseRunListener - Collecting traces of test RegressionTest0.test1
15:57:56.759 [main] INFO  eu.stamp.cbc.Executor - Result: 0/1 failure
15:57:56.760 [main] INFO  e.s.cbc.calculator.CoupledBranches - Number of covered coupled branches by test suite: 0
